CRD_4A29C46B117240F8943D|돌살이|9310
CRD_4A642D0DF8D74C7B896A|잠만보 V|2450
CRD_4A6AB07D1EE64032B862|로켓단의 뮤츠 ex|27992
CRD_0BDC07CD5DF04DCC8A26|M레쿠쟈 EX|26830
CRD_15F12748F61F45C7853E|M폭타 EX|8250
CRD_1696ABBCC85248FD81F5|쥬피썬더 EX|4150
CRD_357701E9E661484B8261|킹드라 GX|1580
CRD_4B0D00B3E615450ABC4E|모야모|148770
CRD_4AF796183B554D43B85C|카푸꼬꼬꼭 V|3134
CRD_4B1DB69AB33149CFB3D1|파오젠 ex|130
CRD_08372C116D1A44CE82AB|에이스번 V|550
CRD_0052886022F54674939E|포플러|642
CRD_2B0E8A61C671491BBA15|카푸꼬꼬꼭 GX|1075
CRD_3B1892201B8240FAA691|땅밑탐험대|9277
CRD_4B6DD9DF25B548FEA79D|카푸꼬꼬꼭 ex|7670
CRD_4BC0454F738547C680E7|토게피&삐&푸푸린 GX|8490
CRD_4BF74DA1A517491DB6F7|저리어|4580
CRD_4C0F021D6C8D4B2C95BD|망나뇽 GX|1730
CRD_4C12E5F0808C4CD8A09F|히스이 드레디어 VSTAR|3700
CRD_4C67C7A9419549B09F71|마스카나 ex|140
CRD_4B9283B93544449DBC2D|이벨타르 ex|2824
CRD_4C0F71EF7CD14B5DAC80|떨구새 ex|140
CRD_0AC16029AD564BF68326|블랑쉬|1242
CRD_0FDC1A9392234CDCB81C|가라르 프리져 V|350
CRD_184AC847FEF045F0A5C3|카틀레야|32566
CRD_28FD2B5F4CE248369764|히스이 조로아크 VSTAR|370
CRD_48D2CD939E9C4A45872A|아크로마의 실험|1607
CRD_0F7BC33D863F44F7AA78|오리진 펄기아 V|2221
CRD_3C1390FC1DF04130BF02|민화의 초대|5879
CRD_4C6B8CCE76054101B753|헤라크로스 EX|1580
CRD_4F738DC1C0384C8E8415|제라오라 VMAX|980
CRD_50ACE060260D40C7B2AC|멜론|6400
CRD_12350A5EE2C042EBA371|아르세우스 V|23890
CRD_2E16148F22B445A2B1F9|솔가레오(프리즘스타)|457
CRD_1F4206DD2E3D45EBAC43|님피아 GX|134164
CRD_487CFF0EF551423B842A|블래키 GX|157970
CRD_54079F1439374F52BCF7|레쿠쟈 VMAX|417150
CRD_4C846CECB8E74C96BF39|히스이 모크나이퍼 V|2086
CRD_144F4E4E8E2B4DBD8115|괴력몬 GX|1853
CRD_4C8698FF6B3849B49B28|모단단게 V|190
CRD_19B52BB682954C4DB699|루기아 V|3170
CRD_4C94C9838D3A4C2DA183|악식킹 GX|1465
CRD_205C20056CBF48F8B08D|메타몽|174770
CRD_19FA15073BE646958D35|코바르온 GX|1370
CRD_1F2BEBDD9D0144DC8275|피카츄|2189
CRD_59C05E1C41D0406E8DF2|스컹탱크 V|150
CRD_21B1F91A8CC1487FB607|님피아 V|6370
CRD_4CCBCECB375543B99CEB|아크로마플라스마단|14766
CRD_4CF3E079DB20440ABDB1|벌차이|1680
CRD_4CC1B8E1952F40E5AE74|스코빌런 ex|90
CRD_4CF6CEF79B8D4088917C|백마 버드렉스 V|170
CRD_4CA4DA6436B34162B705|카푸느지느 GX|1478
CRD_4DD11310DD574B5BAF64|마셰이드|840
CRD_45708EEF14E84AD79B2A|엘레이드|5270
CRD_11D9A92DB3D34830BCAB|꿰뚫는화염 ex|14420
CRD_2075A8C3697B47EDAC26|코일|8040
CRD_4D2AB79A057148E8BE39|엘레이드 EX|1578
CRD_4DC3694C7B5E49B7A1A8|제크로무 ex|52000
CRD_5CDC6F885194428BADB1|에레키블 ex|941
CRD_2BE2AAD4366A40AAB96E|아르세우스 V|5200
CRD_4DFB7837ADC84D93A7EE|제크로무 GX|
CRD_17916E8A74A842A69743|배틀 리포터|3005
CRD_4E00186303FD42FCA5B7|빙큐보 ex|140
CRD_2BE0C7968F004557B9AB|자포코일 VSTAR|360
CRD_4E19D3DA09F7478A8AE4|칼라마네로 EX|3949
CRD_2BE4A0CA25944D3292C7|히드런 V|981
CRD_4E59295B4DF14431A9B7|가라르 야도킹 VMAX|470
CRD_33E384F099914BF89170|비파|810
CRD_62D1A0E97E804231B0D6|리피아 VMAX|2650
CRD_3D8E86F6369447DC8A73|두빅굴 EX|3058
CRD_422F8452B1C741639603|위대한엄니 ex|6200
CRD_40FAAC6A04774AEEB7B2|음번 ex|550
CRD_4E708DE56D9944CFB875|오리진 디아루가 VSTAR|360
CRD_67AC53C3B7C24162A902|오팔|1350
CRD_3E5403B79A2643CBAD3A|토네로스 V|16173
CRD_5836A136DD3E47DB8AE1|치라치노 ex|23760
